date,target_level_max,target_level_mean,target_level_min,target_level_std,grafton_level,hermann_level,daily_precip,daily_temp_avg,daily_snowfall,daily_humidity,daily_wind,precip_7d,precip_14d,precip_30d,soil_deep_30d,heavy_rain_48h,is_flood,is_major_flood,hermann_lag1d,grafton_lag1d,target_lag1d,hermann_lag2d,grafton_lag2d,target_lag2d,hermann_lag3d,grafton_lag3d,target_lag3d,hermann_lag5d,grafton_lag5d,hermann_lag7d,grafton_lag7d,precip_7d_lag1d,precip_14d_lag1d,precip_30d_lag1d,soil_deep_30d_lag1d,daily_precip_lag1d,hermann_ma3d,grafton_ma3d,hermann_ma7d,grafton_ma7d,hermann_ma14d,grafton_ma14d
2001-10-18,7.48,7.135000000000001,6.52,0.3084604125118116,15.53,9.36,0.0,12.604166666666666,0.0,53.54166666666666,18.225,48.94583333333333,82.0,82.0,0.2507496799805663,0,0,0,9.11,15.62,6.53,6.9,15.38,6.55,7.23,15.48,7.01,9.43,15.53,11.22,15.13,56.2875,82.0,82.0,0.2497962903912602,0.0,7.746666666666667,15.493333333333332,9.124285714285714,15.427142857142858,8.458571428571428,15.393571428571429
2001-10-19,7.71,7.395,7.08,0.2318545271051013,15.49,10.41,0.0,15.0375,0.0,63.66666666666666,7.520833333333333,36.391666666666666,77.1875,82.0,0.2517470687377631,0,0,0,9.36,15.53,7.48,9.11,15.62,6.53,6.9,15.38,6.55,9.05,15.46,10.93,15.39,48.94583333333333,82.0,82.0,0.2507496799805663,0.0,8.456666666666667,15.51,8.858571428571429,15.484285714285717,8.606428571428571,15.409999999999998
2001-10-20,8.64,8.098333333333334,7.71,0.2846304494491463,15.54,9.69,0.0,16.679166666666667,0.0,75.58333333333333,10.175,31.72083333333333,56.625,82.0,0.2527140786427171,0,0,0,10.41,15.49,7.71,9.36,15.53,7.48,9.11,15.62,6.53,7.23,15.48,9.43,15.53,36.391666666666666,77.1875,82.0,0.2517470687377631,0.0,9.626666666666669,15.546666666666669,8.784285714285714,15.498571428571427,8.799285714285714,15.413571428571428
2001-10-21,8.74,8.133750000000001,7.27,0.4946743548955253,15.41,8.28,0.5,19.429166666666667,0.0,77.0,9.841666666666669,19.616666666666664,56.5625,82.0625,0.2536373774530342,0,0,0,9.69,15.54,8.64,10.41,15.49,7.71,9.36,15.53,7.48,6.9,15.38,9.05,15.46,31.72083333333333,56.625,82.0,0.2527140786427171,0.0,9.82,15.52,8.821428571428571,15.5,8.932142857142859,15.422714285714283
2001-10-22,7.15,6.5495833333333335,5.92,0.3785381396747302,15.41,6.97,0.0,19.433333333333334,0.0,74.625,15.4375,18.445833333333333,57.0,82.5,0.2545013055967367,0,0,0,8.28,15.41,8.74,9.69,15.54,8.64,10.41,15.49,7.71,9.11,15.62,7.23,15.48,19.616666666666664,56.5625,82.0625,0.2536373774530342,0.5,9.46,15.48,8.711428571428572,15.492857142857144,8.925,15.424571428571427
2001-10-23,8.16,6.34375,5.33,0.9600942548837944,15.64,6.47,14.4,19.20833333333333,0.0,89.79166666666667,16.195833333333333,9.3125,60.20416666666667,85.70416666666667,0.2553131612467355,0,0,0,6.97,15.41,7.15,8.28,15.41,8.74,9.69,15.54,8.64,9.36,15.53,6.9,15.38,18.445833333333333,57.0,82.5,0.2545013055967367,0.0,8.313333333333333,15.453333333333331,8.674285714285714,15.482857142857142,8.811428571428571,15.428428571428572
2001-10-24,9.58,8.721739130434782,8.23,0.4361364691961056,15.5,6.22,15.2,16.083333333333332,0.0,80.08333333333333,19.120833333333334,13.470833333333331,69.75833333333333,95.47083333333332,0.2560918853538645,1,0,0,6.47,15.64,8.16,6.97,15.41,7.15,8.28,15.41,8.74,10.41,15.49,9.11,15.62,9.3125,60.20416666666667,85.70416666666667,0.2553131612467355,14.4,7.239999999999999,15.486666666666666,8.612857142857143,15.52,8.732857142857142,15.450714285714286
2001-10-25,10.71,10.304166666666667,9.66,0.3248801339714003,15.29,6.36,0.0,10.395833333333334,0.0,38.708333333333336,25.729166666666668,29.53333333333333,78.47916666666667,111.53333333333332,0.2572459220849043,1,0,0,6.22,15.5,9.58,6.47,15.64,8.16,6.97,15.41,7.15,9.69,15.54,9.36,15.53,13.470833333333331,69.75833333333333,95.47083333333332,0.2560918853538645,15.2,6.553333333333334,15.516666666666667,8.2,15.502857142857142,8.662142857142857,15.465
2001-10-26,10.04,9.318333333333332,8.26,0.492620911369828,15.33,6.54,0.0,7.129166666666666,0.0,38.91666666666666,20.9375,30.1,66.49166666666666,112.09999999999998,0.2588964307218975,0,0,0,6.36,15.29,10.71,6.22,15.5,9.58,6.47,15.64,8.16,8.28,15.41,10.41,15.49,29.53333333333333,78.47916666666667,111.53333333333332,0.2572459220849043,0.0,6.350000000000001,15.476666666666668,7.771428571428571,15.468571428571428,8.315000000000001,15.47642857142857
2001-10-27,8.19,7.610833333333333,7.12,0.3207317268056136,15.48,6.41,0.0,4.304166666666666,0.0,55.833333333333336,8.766666666666667,30.1,61.82083333333333,112.09999999999998,0.2605664384509015,0,0,0,6.54,15.33,10.04,6.36,15.29,10.71,6.22,15.5,9.58,6.97,15.41,9.69,15.54,30.1,66.49166666666666,112.09999999999998,0.2588964307218975,0.0,6.373333333333334,15.373333333333331,7.218571428571428,15.445714285714288,8.001428571428571,15.472142857142858
2001-10-28,8.26,7.857083333333333,7.18,0.3407342349112866,15.83,6.39,0.0,7.095833333333334,0.0,57.91666666666666,14.120833333333335,30.0375,49.65416666666667,112.09999999999998,0.2621781870894108,0,0,0,6.41,15.48,8.19,6.54,15.33,10.04,6.36,15.29,10.71,6.47,15.64,8.28,15.41,30.1,61.82083333333333,112.09999999999998,0.2605664384509015,0.0,6.436666666666667,15.366666666666664,6.75,15.437142857142858,7.785714285714286,15.468571428571428
2001-10-29,8.24,7.565,6.66,0.4978650070223768,15.64,6.27,0.0,11.733333333333334,0.0,57.708333333333336,10.379166666666666,29.6,48.04583333333333,112.09999999999998,0.2637177764606865,0,0,0,6.39,15.83,8.26,6.41,15.48,8.19,6.54,15.33,10.04,6.22,15.5,6.97,15.41,30.0375,49.65416666666667,112.09999999999998,0.2621781870894108,0.0,6.446666666666668,15.546666666666669,6.48,15.497142857142858,7.595714285714285,15.495
2001-10-30,6.91,6.607916666666667,6.46,0.1282992143615738,15.48,6.03,0.0,13.491666666666667,0.0,63.54166666666666,9.325,26.39583333333333,35.708333333333336,112.09999999999998,0.2651569189202092,0,0,0,6.27,15.64,8.24,6.39,15.83,8.26,6.41,15.48,8.19,6.36,15.29,6.47,15.64,29.6,48.04583333333333,112.09999999999998,0.2637177764606865,0.0,6.3566666666666665,15.65,6.38,15.53,7.527142857142857,15.506428571428572
2001-10-31,7.21,6.99875,6.64,0.1382283083069139,15.59,6.85,0.0,14.270833333333334,0.0,55.625,18.758333333333333,16.629166666666666,30.100000000000005,112.09999999999998,0.2665171595833088,0,0,0,6.03,15.48,6.91,6.27,15.64,8.24,6.39,15.83,8.26,6.54,15.33,6.22,15.5,26.39583333333333,35.708333333333336,112.09999999999998,0.2651569189202092,0.0,6.23,15.65,6.317142857142857,15.507142857142856,7.465000000000001,15.513571428571428
2001-11-01,6.58,6.081666666666667,5.79,0.2612622648116119,15.45,6.18,0.0,18.079166666666666,0.0,64.375,20.691666666666663,0.5666666666666667,30.100000000000005,112.09999999999998,0.2677837350669538,0,0,0,6.85,15.59,7.21,6.03,15.48,6.91,6.27,15.64,8.24,6.41,15.48,6.36,15.29,16.629166666666666,30.100000000000005,112.09999999999998,0.2665171595833088,0.0,6.383333333333334,15.57,6.4071428571428575,15.52,7.303571428571429,15.511428571428572
