date,lead_time,predicted_level_ft,global_pf,zone_id,zone_name,zone_pf,zone_vulnerability,impact_level,allocation_mode,units_allocated
2019-01-01,3d,25.686140060424805,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-01,3d,25.686140060424805,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-01,3d,25.686140060424805,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-01,3d,25.686140060424805,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-01,3d,25.686140060424805,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-01,3d,25.686140060424805,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
2019-01-02,3d,25.386159896850582,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-02,3d,25.386159896850582,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-02,3d,25.386159896850582,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-02,3d,25.386159896850582,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-02,3d,25.386159896850582,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-02,3d,25.386159896850582,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
2019-01-03,3d,27.77848026136453,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-03,3d,27.77848026136453,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-03,3d,27.77848026136453,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-03,3d,27.77848026136453,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-03,3d,27.77848026136453,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-03,3d,27.77848026136453,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
2019-01-04,3d,28.36919000947924,0.0792,Z1N,North Riverfront Floodplain,0.0792,0.828,NORMAL,CRISP,4
2019-01-04,3d,28.36919000947924,0.0792,Z1S,South Riverfront Floodplain,0.078,0.8325,NORMAL,CRISP,4
2019-01-04,3d,28.36919000947924,0.0792,Z2,Central Business & Medical Core,0.0699,0.7975,NORMAL,CRISP,3
2019-01-04,3d,28.36919000947924,0.0792,Z3,Inland South Residential Plateau,0.0558,0.48,NORMAL,CRISP,3
2019-01-04,3d,28.36919000947924,0.0792,Z4,Inland North Residential Plateau,0.0578,0.53,NORMAL,CRISP,3
2019-01-04,3d,28.36919000947924,0.0792,ZC,Central / Special ZIPs,0.0679,0.475,NORMAL,CRISP,3
2019-01-05,3d,24.52626193788198,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-05,3d,24.52626193788198,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-05,3d,24.52626193788198,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-05,3d,24.52626193788198,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-05,3d,24.52626193788198,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-05,3d,24.52626193788198,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
2019-01-06,3d,24.064441028049,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-06,3d,24.064441028049,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-06,3d,24.064441028049,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-06,3d,24.064441028049,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-06,3d,24.064441028049,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
2019-01-06,3d,24.064441028049,0.05,ZC,Central / Special ZIPs,0.0429,0.475,NORMAL,CRISP,3
2019-01-07,3d,22.80475665472852,0.05,Z1N,North Riverfront Floodplain,0.05,0.828,NORMAL,CRISP,4
2019-01-07,3d,22.80475665472852,0.05,Z1S,South Riverfront Floodplain,0.0492,0.8325,NORMAL,CRISP,4
2019-01-07,3d,22.80475665472852,0.05,Z2,Central Business & Medical Core,0.0441,0.7975,NORMAL,CRISP,3
2019-01-07,3d,22.80475665472852,0.05,Z3,Inland South Residential Plateau,0.0352,0.48,NORMAL,CRISP,3
2019-01-07,3d,22.80475665472852,0.05,Z4,Inland North Residential Plateau,0.0365,0.53,NORMAL,CRISP,3
